Accident year,Road user,Casualty class,Casualty age,Weather condition,All casualties
2019,Pedestrian,Pedestrian,Unknown or missing,Unknown,60
2019,Pedestrian,Pedestrian,Unknown or missing,Fine no high winds,283
2019,Pedestrian,Pedestrian,Unknown or missing,Raining no high winds,37
2019,Pedestrian,Pedestrian,Unknown or missing,Snowing no high winds,1
2019,Pedestrian,Pedestrian,Unknown or missing,Fine + high winds,2
2019,Pedestrian,Pedestrian,Unknown or missing,Raining + high winds,2
2019,Pedestrian,Pedestrian,Unknown or missing,Other,12
2019,Pedestrian,Pedestrian,0,Unknown,7
2019,Pedestrian,Pedestrian,0,Fine no high winds,40
2019,Pedestrian,Pedestrian,0,Raining no high winds,4
2019,Pedestrian,Pedestrian,0,Other,2
2019,Pedestrian,Pedestrian,1,Fine no high winds,40
2019,Pedestrian,Pedestrian,1,Raining no high winds,4
2019,Pedestrian,Pedestrian,1,Fog or mist,1
2019,Pedestrian,Pedestrian,2,Unknown,2
2019,Pedestrian,Pedestrian,2,Fine no high winds,110
2019,Pedestrian,Pedestrian,2,Raining no high winds,11
2019,Pedestrian,Pedestrian,2,Fine + high winds,2
2019,Pedestrian,Pedestrian,2,Raining + high winds,1
2019,Pedestrian,Pedestrian,2,Other,1
2019,Pedestrian,Pedestrian,3,Unknown,3
2019,Pedestrian,Pedestrian,3,Fine no high winds,192
2019,Pedestrian,Pedestrian,3,Raining no high winds,13
2019,Pedestrian,Pedestrian,3,Other,7
2019,Pedestrian,Pedestrian,4,Unknown,5
2019,Pedestrian,Pedestrian,4,Fine no high winds,186
2019,Pedestrian,Pedestrian,4,Raining no high winds,23
2019,Pedestrian,Pedestrian,4,Fog or mist,2
2019,Pedestrian,Pedestrian,4,Other,1
2019,Pedestrian,Pedestrian,5,Unknown,7
2019,Pedestrian,Pedestrian,5,Fine no high winds,217
2019,Pedestrian,Pedestrian,5,Raining no high winds,17
2019,Pedestrian,Pedestrian,5,Fine + high winds,7
2019,Pedestrian,Pedestrian,5,Other,2
2019,Pedestrian,Pedestrian,6,Unknown,2
2019,Pedestrian,Pedestrian,6,Fine no high winds,195
2019,Pedestrian,Pedestrian,6,Raining no high winds,16
2019,Pedestrian,Pedestrian,6,Snowing no high winds,1
2019,Pedestrian,Pedestrian,6,Fine + high winds,3
2019,Pedestrian,Pedestrian,6,Raining + high winds,3
2019,Pedestrian,Pedestrian,6,Other,5
2019,Pedestrian,Pedestrian,7,Unknown,7
2019,Pedestrian,Pedestrian,7,Fine no high winds,221
2019,Pedestrian,Pedestrian,7,Raining no high winds,10
2019,Pedestrian,Pedestrian,7,Snowing no high winds,1
2019,Pedestrian,Pedestrian,7,Fine + high winds,3
2019,Pedestrian,Pedestrian,7,Raining + high winds,4
2019,Pedestrian,Pedestrian,7,Other,3
2019,Pedestrian,Pedestrian,8,Unknown,7
2019,Pedestrian,Pedestrian,8,Fine no high winds,211
2019,Pedestrian,Pedestrian,8,Raining no high winds,18
2019,Pedestrian,Pedestrian,8,Fine + high winds,1
2019,Pedestrian,Pedestrian,8,Fog or mist,1
2019,Pedestrian,Pedestrian,8,Other,8
2019,Pedestrian,Pedestrian,9,Unknown,10
2019,Pedestrian,Pedestrian,9,Fine no high winds,232
2019,Pedestrian,Pedestrian,9,Raining no high winds,18
2019,Pedestrian,Pedestrian,9,Snowing no high winds,2
2019,Pedestrian,Pedestrian,9,Fine + high winds,4
2019,Pedestrian,Pedestrian,9,Raining + high winds,3
2019,Pedestrian,Pedestrian,9,Other,2
2019,Pedestrian,Pedestrian,10,Unknown,7
2019,Pedestrian,Pedestrian,10,Fine no high winds,313
2019,Pedestrian,Pedestrian,10,Raining no high winds,49
2019,Pedestrian,Pedestrian,10,Snowing no high winds,1
